category;description;moisture;energy;protein;lipids;cholesterol;carbohydrate;dietary_fiber;ash;calcium;magnesium;manganese;phosphorus;iron;sodium;potassium;copper;zinc;retinol;re;era;thiamin;riboflavin;pyridoxine;niacin;vitamin_c
1;Arroz (polido, parboilizado, agulha, agulhinha, etc.), Nao se aplica;N/A;135,62;2,5;1,2;0;27,78;1,55;N/A;3,51;2,23;0,29;17,77;0,08;1,19;14,53;0,01;0,49;0;N/A;N/A;0;0;0;0;0
1;Arroz integral, Nao se aplica;N/A;130,95;2,56;1,97;0;25,56;2,72;N/A;5,15;58,13;0,62;104,82;0,26;1,23;74,42;0,02;0,68;0;N/A;N/A;0,08;0;0,08;0;0
1;Milho (em gr„o), Cru(a);N/A;160,14;3,32;7,18;0;25,11;4,25;N/A;3,15;26,01;0,16;75;0,45;244,96;212,05;0,05;0,61;0;N/A;N/A;0,22;0,07;0,06;1,61;6,2
1;Milho (em gr„o), Cozido(a);N/A;160,14;3,32;7,18;0;25,11;4,25;N/A;3,15;26,01;0,16;75;0,45;244,96;212,05;0,05;0,61;0;N/A;N/A;0,22;0,07;0,06;1,61;6,2
1;Milho (em gr„o), Grelhado(a)/brasa/churrasco;N/A;160,14;3,32;7,18;0;25,11;4,25;N/A;3,15;26,01;0,16;75;0,45;244,96;212,05;0,05;0,61;0;N/A;N/A;0,22;0,07;0,06;1,61;6,2
1;Milho (em gr„o), Assado(a);N/A;160,14;3,32;7,18;0;25,11;4,25;N/A;3,15;26,01;0,16;75;0,45;244,96;212,05;0,05;0,61;0;N/A;N/A;0,22;0,07;0,06;1,61;6,2
1;Milho (em gr„o), Refogado(a);N/A;160,14;3,32;7,18;0;25,11;4,25;N/A;3;26;0,16;75;0,44;0;212;0,05;0,61;0;N/A;N/A;0,22;0,07;0,06;1,61;6,2
1;Milho (em gr„o), Ensopado;N/A;160,14;3,32;7,18;0;25,11;4,25;N/A;3;26;0,16;75;0,44;0;212;0,05;0,61;0;N/A;N/A;0,22;0,07;0,06;1,61;6,2
1;Milho (em gr„o), Nao se aplica;N/A;160,14;3,32;7,18;0;25,11;4,25;N/A;3,15;26,01;0,16;75;0,45;244,96;212,05;0,05;0,61;0;N/A;N/A;0,22;0,07;0,06;1,61;6,2
1;Canjiquinha de milho em gr„o, Cru(a);N/A;79,68;1,24;2,2;0;13,5;0,67;N/A;3,45;6,93;0,03;17,91;0,74;131,5;25,96;0,02;0,13;0;N/A;N/A;0,11;0,07;0,03;0,91;0
1;Canjiquinha de milho em gr„o, Cozido(a);N/A;62,95;1,24;0,31;0;13,5;0,67;N/A;3,37;6,93;0,03;17,91;0,74;5,01;25,93;0,02;0,13;0;N/A;N/A;0,11;0,07;0,03;0,91;0
1;Canjiquinha de milho em gr„o, Ensopado;N/A;79,68;1,24;2,2;0;13,5;0,67;N/A;3,37;6,93;0,03;17,91;0,74;5,01;25,93;0,02;0,13;0;N/A;N/A;0,11;0,07;0,03;0,91;0
1;Canjiquinha de milho em gr„o, Mingau;N/A;62,95;1,24;0,31;0;13,5;0,67;N/A;3,37;6,93;0,03;17,91;0,74;5,01;25,93;0,02;0,13;0;N/A;N/A;0,11;0,07;0,03;0,91;0
1;Canjiquinha de milho em gr„o, Sopa;N/A;31,44;0,95;0,12;0;7,01;0,71;N/A;8,56;6,35;0,07;15,76;0,29;310,43;88,32;0,04;0,12;0;N/A;N/A;0,03;0,03;0,04;0,51;2,1
1;Canjiquinha de milho em gr„o, Nao se aplica;N/A;62,95;1,24;0,31;0;13,5;0,67;N/A;3,37;6,93;0,03;17,91;0,74;5,01;25,93;0,02;0,13;0;N/A;N/A;0,11;0,07;0,03;0,91;0
1;XerÈm de milho, Nao se aplica;N/A;62,95;1,24;0,31;0;13,5;0,67;N/A;3,37;6,93;0,03;17,91;0,74;5,01;25,93;0,02;0,13;0;N/A;N/A;0,11;0,07;0,03;0,91;0
1;Amendoim (em gr„o) in natura, Nao se aplica;N/A;567;25,8;49,24;0;16,13;8,5;N/A;92;168;1,93;376;4,58;18;705;1,14;3,27;0;N/A;N/A;0,64;0,14;0,35;12,07;0
1;Ervilha em gr„o, Nao se aplica;N/A;109,09;5,36;3,06;0;15,63;5,5;N/A;27;39;0,53;117;1,54;3;271;0,17;1,19;0;N/A;N/A;0,26;0,15;0,22;2,02;14,2
1;Fava (em gr„o), Nao se aplica;N/A;85,62;4,8;3,17;0;10,1;3,6;N/A;18;31;0,26;73;1,5;41;193;0,06;0,47;0;N/A;N/A;0,13;0,09;0,03;1,2;19,8
1;MangalÙ amargo em gr„o, Nao se aplica;N/A;85,62;4,8;3,17;0;10,1;3,6;N/A;18;31;0,26;73;1,5;41;193;0,06;0,47;0;N/A;N/A;0,13;0,09;0,03;1,2;19,8
1;Feij„o-de-corda, Nao se aplica;N/A;121,33;3,17;3,13;0;20,32;5;N/A;128;52;0,57;51;1,12;4;418;0,13;1,03;0;N/A;N/A;0,1;0,15;0,07;1,4;2,2
1;Feij„o-verde, Nao se aplica;N/A;121,33;3,17;3,13;0;20,32;5;N/A;128;52;0,57;51;1,12;4;418;0,13;1,03;0;N/A;N/A;0,1;0,15;0,07;1,4;2,2
1;Semente de linha¡a, Nao se aplica;N/A;534;18,29;42,16;0;28,88;27,3;N/A;255;392;2,48;642;5,73;30;813;1,22;4,34;0;N/A;N/A;1,64;0,16;0,47;3,08;0,6
1;Andu, Nao se aplica;N/A;97,41;5,84;1,79;0;15,05;3,78;N/A;55,2;38,2;0,38;67,8;2,22;5,2;336,6;0,18;0,83;0;N/A;N/A;0,07;0,03;0,06;0,08;0
1;Gr„o de bico, Nao se aplica;N/A;188,48;8,86;5,36;0;27,42;7,6;N/A;49;48;1,03;168;2,89;7;291;0,35;1,53;0;N/A;N/A;0,12;0,06;0,14;0,53;1,3
1;Lentilha, Nao se aplica;N/A;136,28;9,02;2,67;0;20,13;5,86;N/A;19;36;0,49;180;3,33;2;369;0,25;1,27;0;N/A;N/A;0,17;0,07;0,18;1,06;1,5
1;Soja em gr„o, Nao se aplica;N/A;196,34;16,64;11,61;0;9,93;6;N/A;102;86;0,82;245;5,14;1;515;0,41;1,15;0;N/A;N/A;0,16;0,29;0,23;0,4;1,7
